Year,Aalscholver,Alk of Zeekoet,Drieteenmeeuw,Drieteenstrandloper,Dwergmeeuw,Dwergstern,Fuut,Grote mantelmeeuw,Grote stern,Grote zee-eend,IJseend,Jan-van-gent,Kleine jager,Kleine mantelmeeuw,Kokmeeuw,Middelste jager,Paarse strandloper,Roodkeelduiker of parelduiker,Steenloper (wint. Eur.),Stormmeeuw,Visdief of Noordse stern,Zilvermeeuw,Zwarte zee-eend
1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991,1111,167,208,111,200,150,128,57,114,464,67,97,127,182,46,52,74,114,78,111,87,48,123
1992,3100,244,315,97,234,113,106,57,142,136,300,104,113,140,264,92,59,144,91,220,57,389,137
1993,1189,125,1256,130,348,73,52,70,128,1273,33,290,99,249,63,61,71,94,95,46,116,254,52
1994,678,151,296,146,45,59,70,215,184,518,85,85,69,613,174,60,78,121,85,86,127,501,88
1995,1744,86,208,208,76,58,36,260,204,118,361,120,47,269,552,47,54,105,60,284,103,528,81
1996,2578,260,513,211,53,37,36,87,283,345,64,84,83,284,386,71,82,103,45,436,225,1759,46
1997,6389,257,515,192,148,100,26,179,197,1009,127,70,126,627,191,73,44,78,55,106,103,150,78
1998,4778,171,808,222,93,71,22,24,175,391,294,79,83,220,16,131,82,108,56,99,83,17,103
1999,2867,538,785,251,226,62,32,80,234,909,303,69,123,365,29,81,97,103,52,29,57,65,32
2000,6322,343,227,270,213,41,33,109,187,1009,145,112,51,1085,16,42,59,191,60,20,106,819,65
2001,4744,296,1475,268,249,52,70,38,189,1336,85,49,38,345,4,32,49,125,79,19,87,31,34
2002,2833,468,1648,376,268,47,28,61,303,627,142,56,82,1080,6,43,99,111,63,113,66,242,59
2003,3189,1503,2538,378,324,55,52,61,201,236,182,83,54,531,33,64,85,534,70,91,79,113,85
2004,2133,1628,4596,476,328,44,101,114,373,345,61,67,113,387,19,479,76,515,79,111,155,101,33
2005,2044,533,16265,392,551,50,76,22,244,236,24,41,74,369,47,54,60,255,102,29,82,6,8
2006,8289,596,844,373,186,42,50,19,247,955,136,56,55,253,5,1044,62,109,96,52,117,12,9
2007,5178,250,190,500,346,39,115,36,188,155,27,35,81,176,3,59,56,123,85,51,56,28,35
2008,4233,163,3517,427,490,86,95,55,265,145,36,43,58,822,5,89,57,101,92,39,81,46,6
2009,3767,356,2148,389,244,72,175,80,221,491,48,48,49,671,13,133,,110,76,49,43,73,12
2010,3256,1171,11196,430,260,43,70,82,254,182,36,78,132,455,20,794,,113,83,53,37,16,32
2011,1856,2908,2263,554,1615,37,114,31,142,1191,103,33,48,496,23,46,,664,64,208,44,29,58
2012,3422,1353,1800,538,196,101,77,15,67,473,315,71,55,693,9,140,,130,73,69,53,13,30
2013,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,
