Year,Ampharete-borstelwormen,Aphelochaeta-borstelwormen,Arenicola-borstelwormen-wadpier,Aricidea-borstelwormen,Capitella-borstelwormen,Eteone-borstelwormen,Eumida-borstelwormen,Gattyana-borstelwormen,Heteromastus-borstelwormen,Lanice-borstelwormen-schelpkokerworm,Magelona-borstelwormen-zandkokerworm,Malmgrenia-borstelwormen,Microphthalmus-borstelwormen,Myrianida-borstelwormen,Nephtys-borstelwormen-gewone zandzager,Nereis-borstelwormen-veelkleurige duizendpoot,Notomastus-borstelwormen,Pholoe-borstelwormen,Phyllodoce-borstelwormen-gestippelde dieseltreinworm,Polydora-borstelwormen,Pseudopolydora-borstelwormen,Pygospio-borstelwormen,Scoloplos-borstelwormen-wapenworm,Spio-borstelwormen-oranje zandkokerworm,Spiophanes-borstelwormen-noordelijke zandkokerworm,Sthenelais-borstelwormen,Syllidia-borstelwormen,Tharyx-borstelwormen,Aora-kreeftachtigen-vlokreeftjes,Bathyporeia-kreeftachtigen-vlokreeftjes,Bodotria-kreeftachtigen-zeekomma's,Caprellidae-kreeftachtigen-vlokreeftjes,Carcinus-kreeftachtigen-strandkrab,Corophium-kreeftachtigen-vlokreeftjes,Crangon-kreeftachtigen-gewone garnaal,Gammarus-kreeftachtigen-vlokreeftjes,Microdeutopus-vlokreeftjes-vlokreeftjes,Microprotopus-kreeftachtigen-vlokreeftjes,Urothoe-kreeftachtigen-vlokreeftjes,Nemertea-overige ringwormen,Tubificoides-overige ringwormen-kromschedekustworm,Peringia-slakken-wadslakje,Retusa-slakken-ovale oubliehoren,Abra-tweekleppigen-witte-prismatische dunschaal,Cerastoderma-tweekleppigen-kokkel,Corbula-tweekleppigen-korfschelp,Macoma-tweekleppigen-gewoon nonnejte,Mya-tweekleppigen-grote-afgeknotte gaper,Mytilus-tweekleppigen-mossel,Scrobicularia-tweekleppigen-platte slijkgaper,Spisula-tweekleppigen-halfgeknotte-stevige-elliptische strandschelp,Tellina-tweekleppigen-tere-rechtsgestreepte platschelp,Venerupis-tweekleppigen-kleine tapijtschelp,Echinocardium-stekelhuidigen-zee-egels-zeeklitten,Ophiura-stekelhuidigen-kleine-gewone slangster
1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991,69,43,135,19,88,43,435,116,41,89,13,124,76,12,115,11,108,156,25,167,94,43,66,59,55,51,6,50,221,69,183,1736,70,23,115,105,60,232,279,62,105,201,34,271,149,899,77,28,57,25,60,208,211,125,59
1992,334,60,171,57,110,61,400,230,73,188,59,85,36,70,131,18,250,165,158,41,96,206,79,66,105,234,1,100,92,728,175,1148,61,67,116,361,41,55,255,111,109,192,40,913,147,141,78,25,4,375,5,474,100,115,72
1993,82,65,94,59,97,35,308,516,100,35,28,34,113,28,120,9,47,47,41,16,48,98,21,40,27,53,4,100,93,234,35,481,46,35,148,68,10,60,428,41,94,505,124,145,128,1417,55,17,30,175,9,202,91,598,18
1994,273,250,637,40,146,71,250,167,108,41,14,17,7,56,72,32,9,112,40,140,68,93,106,29,62,17,7,100,91,687,18,945,135,46,127,102,2,42,378,36,143,801,98,576,167,1986,169,167,339,0,33,41,222,51,27
1995,653,61,225,33,122,50,37,134,213,35,24,36,51,29,62,10,5,142,34,109,15,54,88,36,82,23,2,100,91,429,20,859,147,36,102,22,98,36,239,19,92,365,79,289,70,1851,105,73,91,0,5,32,71,51,375
1996,75,47,181,26,84,32,532,75,128,72,26,65,88,30,87,67,3,139,27,11,15,44,153,20,66,32,1,125,93,443,163,645,107,80,193,57,106,39,400,33,127,281,78,604,51,845,378,51,139,0,4,42,86,51,99
1997,127,97,192,49,72,42,266,240,127,55,45,46,17,42,111,12,5,72,27,18,69,121,78,40,204,52,2,100,104,455,197,256,51,23,197,365,52,66,589,53,87,372,85,2256,51,645,445,223,17,75,9,96,464,51,154
1998,69,70,128,80,90,88,445,130,75,85,198,87,28,74,105,7,133,135,55,21,62,74,76,23,297,268,2,100,124,211,23,673,97,52,212,269,101,43,413,62,108,738,84,3189,107,4615,394,221,13,875,2,207,427,51,89
1999,66,59,105,41,125,74,96,88,34,60,24,43,8,25,89,9,221,88,46,28,80,41,64,22,179,97,6,100,101,378,15,375,26,33,86,48,92,19,195,47,68,1357,54,668,93,5144,266,76,22,7725,1,298,26,51,146
2000,70,55,50,15,101,40,75,74,12,30,195,37,6,68,90,22,68,106,27,11,90,23,55,55,123,64,14,100,97,234,23,66,76,71,170,40,77,19,258,84,90,1225,71,917,70,4970,280,48,265,550,1,77,93,51,57
2001,72,45,85,41,199,46,130,88,54,39,58,47,47,89,96,9,69,46,83,172,79,25,90,9,80,87,30,100,97,102,22,330,9,155,80,33,433,65,264,127,88,596,44,2003,102,10714,303,56,87,1600,2,131,633,137,139
2002,108,36,139,59,156,41,347,88,69,24,38,57,135,8,103,33,264,39,43,38,36,35,80,10,195,46,6,100,104,87,9,889,64,109,197,60,308,41,268,113,133,379,80,1889,100,5376,338,71,61,1075,24,153,143,76,121
2003,193,124,75,44,277,51,75,74,111,12,60,43,400,18,95,15,181,50,44,126,18,22,166,14,163,109,4,100,97,201,14,64,89,65,75,156,332,61,189,260,153,578,141,1598,123,6453,182,43,100,3350,4,120,50,51,23
2004,113,73,106,30,283,64,100,74,153,77,100,79,45,121,76,4,293,94,1,18,45,9,73,16,92,57,9,100,99,45,21,70,114,47,43,78,173,9,178,168,71,680,23,704,260,2388,195,34,122,1850,1,180,35,51,29
2005,165,59,158,33,222,20,396,594,42,172,86,95,25,436,84,19,356,230,40,22,36,18,75,17,75,475,29,100,187,151,60,2830,17,94,167,83,230,27,323,87,90,304,98,1099,109,2772,195,56,52,1950,1,535,243,138,236
2006,52,106,130,46,341,44,68,73,112,10,67,43,61,165,61,12,329,207,46,56,46,26,116,11,199,687,9,100,108,213,58,853,25,28,152,120,242,14,382,227,44,214,5,333,133,5015,204,49,109,1225,0,88,195,163,190
2007,83,51,218,25,158,27,36,126,99,7,20,78,14,22,24,16,20,24,39,3,6,2,83,2,69,125,7,125,110,32,414,564,18,16,36,22,132,21,604,57,27,492,12,23,128,167,226,33,26,6600,1,165,103,70,166
2008,92,25,674,18,137,80,35,150,138,46,32,93,8,48,19,49,338,121,33,3,2,37,74,7,42,91,5,150,115,176,104,203,26,42,14,16,22,10,1656,53,110,239,24,432,121,141,397,25,117,175,1,547,82,112,163
2009,63,61,93,23,295,119,13,97,404,33,73,62,3,13,20,12,79,103,59,27,2,4,173,4,78,74,4,125,112,100,84,57,34,34,113,28,11,7,86,188,102,10,50,130,123,88,362,24,104,225,1,1267,186,342,154
2010,63,20,371,36,66,87,4,130,295,13,85,67,1,39,49,5,351,9,8,19,5,10,170,36,34,256,3,125,122,24,37,19,32,136,90,47,80,6,530,66,107,174,162,385,98,222,543,22,52,1250,1,1343,52,109,169
2011,86,25,293,79,209,88,7,215,351,185,286,120,2,133,204,0,14,3,31,69,130,32,165,37,799,842,7,2500,113,175,33,9,111,391,339,125,1947,5,704,72,38,272,502,606,112,260,547,42,109,275,2,164,168,146,208
2012,79,495,129,86,39,52,3,77,210,404,213,260,256,90,93,0,675,128,25,130,129,14,178,12,288,459,1,4550,13,128,29,3,94,2,58,113,28,2,645,1146,68,594,399,2264,81,351,786,139,30,150,6,132,3011,110,852
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
