 ,Waarneming,Trend,Onzekerheid ondergrens,Onzekerheid bovengrens
1990,107,100,80,126
1991,94,96,83,116
1992,94,93,84,110
1993,84,90,85,106
1994,99,88,85,105
1995,103,86,85,105
1996,93,86,84,105
1997,96,87,85,106
1998,93,88,86,108
1999,92,91,88,109
2000,89,94,89,110
2001,114,96,90,111
2002,104,98,92,114
2003,107,100,94,115
2004,113,102,96,118
2005,99,101,98,119
2006,96,100,100,122
2007,125,99,102,124
2008,109,98,105,126
2009,125,99,106,126
2010,121,100,107,126
2011,119,102,107,124
2012,113,104,107,123
2013,112,106,106,122
2014,119,108,104,121
2015,103,110,100,121
