Year,Aalscholver,Bergeend,Bontbekplevier,Bonte strandloper,Brilduiker,Dodaars,Drieteenstrandloper,Dwergstern,Eider,Fuut,Geoorde fuut,Groenpootruiter,Grote mantelmeeuw,Kanoet,Kleine zilverreiger,Kluut,Kokmeeuw,Krombekstrandloper,Kuifduiker,Lepelaar,Middelste zaagbek,Noordse stern,Pijlstaart,Regenwulp,Roodhalsfuut,Rosse Grutto,Scholekster,Steenloper (wint. Eur.),Stormmeeuw,Strandplevier,Topper,Tureluur,Visdief,Wintertaling,Wulp,Zilvermeeuw,Zilverplevier,Zwartbuikrotgans,Zwarte Ruiter
1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991,262,67,63,85,39,128,80,41,84,357,38,94,94,105,29,126,66,34,0,170,308,81,128,290,339,109,87,114,98,44,217,68,97,75,94,77,64,102,78
1992,238,65,118,85,99,107,115,84,72,94,13,111,102,162,33,85,76,12,0,130,112,144,150,360,532,151,81,92,181,56,37,100,118,52,134,99,106,129,74
1993,319,94,187,105,89,64,95,116,69,175,25,154,104,192,58,126,79,26,390,139,373,169,54,863,304,137,79,118,206,22,39,86,107,45,110,124,110,125,78
1994,290,101,292,114,124,49,127,126,81,160,38,272,109,191,208,75,68,141,710,226,325,180,78,563,632,116,82,115,180,38,62,87,143,74,113,136,133,163,96
1995,214,92,95,104,136,53,141,148,106,225,88,122,78,195,417,94,76,70,4440,209,488,154,94,557,246,137,85,92,163,20,26,93,120,50,134,114,93,164,103
1996,214,75,171,109,388,46,200,98,135,221,138,182,139,104,538,79,52,59,3000,500,215,170,74,670,293,142,83,54,213,28,25,95,127,33,104,112,98,99,92
1997,348,85,195,99,342,11,210,168,85,62,825,160,124,144,363,89,79,65,1440,357,186,152,70,240,129,147,63,38,165,36,96,71,134,46,100,105,90,107,100
1998,248,90,182,118,132,20,198,139,69,234,1188,198,141,129,821,102,62,40,1330,530,385,197,61,443,200,167,66,51,144,40,10,69,108,30,108,123,91,115,76
1999,333,79,132,93,185,26,205,152,101,132,1063,83,149,153,713,83,40,22,7330,374,271,192,85,167,146,156,64,49,170,30,29,72,112,34,97,116,73,84,89
2000,400,101,192,120,122,70,251,136,48,92,975,122,98,138,758,89,104,58,8000,530,231,163,80,487,357,165,69,51,233,27,0,92,110,60,131,86,102,118,112
2001,476,139,263,135,73,68,244,132,30,189,1250,154,80,127,1388,93,80,7,1000,435,169,145,185,333,346,175,65,65,185,47,0,90,111,71,130,85,116,115,87
2002,410,113,137,135,104,61,244,158,46,91,300,172,70,86,1325,102,70,21,1110,730,154,131,224,330,157,188,66,89,157,10,35,105,118,94,140,91,88,113,87
2003,538,110,242,108,115,74,322,169,80,175,538,163,114,75,1808,80,67,37,780,891,175,137,130,707,275,207,64,65,180,22,143,101,113,73,121,91,119,101,88
2004,567,131,250,149,106,55,359,193,114,104,1075,140,89,122,908,78,62,207,670,804,180,89,176,567,93,211,64,78,174,32,12,108,106,44,121,95,128,102,66
2005,605,99,239,115,103,70,473,147,98,136,763,206,102,95,721,76,55,68,1220,848,332,118,157,393,129,168,60,87,189,37,4,87,93,37,108,100,120,101,61
2006,457,115,250,142,91,86,378,177,72,68,175,148,83,166,846,86,75,115,1110,835,110,86,211,1093,157,228,62,113,209,17,57,125,79,66,155,100,130,138,43
2007,448,114,221,122,93,64,334,208,76,102,275,165,82,125,450,93,67,119,3220,926,203,114,169,690,111,225,58,94,148,13,5,104,78,61,119,86,128,122,32
2008,429,114,316,149,90,84,459,244,70,98,638,182,78,106,525,85,51,110,1110,978,146,79,144,290,36,254,52,83,102,34,52,107,58,33,119,74,122,130,52
2009,371,129,337,154,100,79,383,256,52,153,25,168,66,137,1554,127,78,64,2330,1165,219,82,159,203,18,253,50,97,204,13,133,100,57,73,142,85,122,108,57
2010,329,142,368,115,130,64,354,165,51,113,50,117,68,105,,81,70,60,2560,983,129,80,154,250,54,151,47,79,213,5,120,91,48,55,116,89,106,84,34
2011,462,158,418,141,95,52,402,149,65,106,138,252,78,133,,96,78,227,1000,1535,151,80,156,733,18,205,49,88,159,15,56,115,63,61,126,80,100,117,67
2012,324,189,297,132,91,54,539,190,90,66,100,131,113,128,,76,70,123,670,1165,146,78,170,573,54,165,47,67,237,14,115,89,57,65,113,91,93,124,45
2013,395,228,347,157,110,46,554,113,89,79,50,122,63,194,,92,54,173,670,1517,310,74,328,223,118,212,50,77,120,12,0,64,40,101,103,73,120,115,53
2014,343,150,332,155,57,44,439,174,103,47,538,122,52,246,,60,74,35,890,1339,169,67,333,323,75,254,44,64,128,7,61,78,59,88,112,63,126,125,37
2015,376,168,474,130,59,64,676,174,96,57,213,126,68,162,,73,74,49,110,1561,163,77,241,350,0,182,46,67,167,7,0,97,59,76,134,92,116,121,37
