Year,Metridium-bloemdieren-zeeanemonen,Alitta-borstelwormen-gewone zager,Arenicola-borstelwormen-wadpier,Bylgides-borstelwormen,Capitella-borstelwormen,Eteone-borstelwormen,Hediste-borstelwormen,Heteromastus-borstelwormen,Lanice-borstelwormen-schelpkokerworm,Magelona-borstelwormen-zandkokerworm,Malmgrenia-borstelwormen,Marenzelleria-borstelwormen,Nephtys-borstelwormen-gewone zandzager,Phyllodoce-borstelwormen-gestippelde dieseltreinworm,Polydora-borstelwormen,Pygospio-borstelwormen,Scolelepis-borstelwormen,Scoloplos-borstelwormen-wapenworm,Spio-borstelwormen-oranje zandkokerworm,Spiophanes-borstelwormen-noordelijke zandkokerworm,Bathyporeia-kreeftachtigen-vlokreeftjes,Carcinus-kreeftachtigen-strandkrab,Corophium-kreeftachtigen-vlokreeftjes,Crangon-kreeftachtigen-gewone garnaal,Gammarus-kreeftachtigen-vlokreeftjes,Urothoe-kreeftachtigen-vlokreeftjes,Nemertea-snoerwormen,Littorina-slakken-alikruiken,Peringia-slakken-wadslakje,Retusa-slakken-ovale oubliehoren,Abra-tweekleppigen-witte-prismatische dunschaal,Cerastoderma-tweekleppigen-kokkel,Kurtiella-tweekleppigen-tweetandschelp,Macoma-tweekleppigen-gewoon nonnejte,Mya-tweekleppigen-strandschelpen,Mytilus-tweekleppigen-mossel,Scrobicularia-tweekleppigen-platte slijkgaper,Spisula-tweekleppigen-halfgeknotte-stevige-elliptische strandschelp,Tellina-tweekleppigen-tere-rechtsgestreepte platschelp
1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991,100,143,355,184,132,574,88,91,221,62,10,27,44,474,39,204,83,118,4,217,86,106,18,49,564,55,50,208,119,384,18,112,60,786,110,3,686,98,92
1992,100,221,261,272,750,197,134,101,86,40,99,54,51,91,7,110,112,152,9,117,203,44,21,37,18,201,26,17,491,173,68,1557,39,169,93,644,775,73,102
1993,0,113,219,58,690,294,60,61,96,136,89,53,53,189,55,53,77,206,2,108,60,64,30,91,76,193,101,114,393,19,128,233,76,131,107,169,847,90,110
1994,0,165,175,3,395,179,173,114,10,97,14,54,38,100,185,186,94,198,16,0,46,47,33,57,29,84,66,83,664,15,64,91,51,206,140,67,424,88,122
1995,50,652,163,958,212,410,109,258,34,64,28,59,61,30,923,225,88,215,28,158,54,41,27,57,19,116,9,128,118,8,282,200,52,122,260,135,610,75,153
1996,300,148,225,299,1604,2392,153,443,22,23,12,48,16,462,10,324,84,130,1,298,39,76,33,71,27,7,56,262,1281,70,253,9,0,378,170,16,909,79,175
1997,500,110,121,331,111,350,117,325,2,5,0,83,11,70,18,17,112,179,1,74,14,65,42,47,12,5,40,388,800,63,177,107,0,292,251,231,963,78,213
1998,900,46,98,432,439,656,113,249,88,3,0,57,15,240,22,11,136,466,1,50,63,29,14,48,17,15,43,646,330,306,236,2235,12,297,134,317,482,43,211
1999,1450,133,112,448,597,489,153,222,73,3,7,394,24,42,35,14,63,231,1,24,39,30,23,32,9,13,12,235,178,131,329,1404,69,161,152,290,181,648,236
2000,550,133,108,351,370,622,71,90,56,30,53,80,37,87,50,18,115,324,4,250,81,46,18,58,46,30,48,1071,53,207,492,865,37,170,122,1861,273,70,1420
2001,1950,93,210,113,303,670,118,115,34,0,25,320,46,175,209,186,82,113,3,122,65,60,23,53,25,51,32,483,299,272,689,396,25,281,132,295,265,45,311
2002,800,120,275,715,107,303,89,110,35,17,44,220,54,38,102,39,88,120,13,374,35,28,17,40,40,75,25,544,113,34,884,336,24,98,118,1218,104,78,1425
2003,1212,865,274,278,92,492,120,99,122,5,24,52,51,25,103,47,50,77,1,169,16,75,24,44,14,113,13,259,88,0,1233,186,16,196,175,395,304,223,314
2004,1050,615,185,379,188,180,79,96,98,0,75,67,50,19,131,53,12,73,9,998,24,34,24,72,14,135,13,814,77,40,1680,550,31,76,117,537,773,30,263
2005,4462,611,293,474,372,463,67,141,81,0,110,68,39,124,324,117,45,177,38,275,31,55,24,56,29,133,18,1637,186,56,,481,27,62,111,467,512,36,586
2006,7262,439,230,116,54,132,128,163,3,14,28,32,26,14,387,79,11,95,9,100,7,21,16,29,3,129,39,2988,119,24,,567,3,44,138,585,430,40,1171
2007,7713,802,192,65,118,208,122,12,31,24,47,209,30,54,306,182,46,101,16,372,30,25,20,24,24,188,30,2406,45,124,,339,37,45,136,180,452,52,955
2008,9350,976,178,322,436,250,104,17,49,14,77,189,16,10,544,57,34,207,11,281,4,49,16,30,4,127,28,1456,375,24,,374,4,40,124,204,203,50,793
2009,7500,1778,312,822,689,972,69,10,12,14,6,129,11,47,442,619,57,247,2,150,8,65,19,25,96,139,17,781,1244,19,,367,29,46,134,286,398,73,693
2010,850,1222,369,667,913,588,102,15,19,22,10,42,10,77,429,603,82,148,1,0,0,68,25,29,38,114,4,383,1084,220,,234,0,48,124,351,223,43,855
2011,1500,1105,273,559,1911,770,75,24,10,48,4,31,17,135,96,573,179,328,30,466,27,58,35,69,6,153,11,,1312,67,,163,16,44,124,237,356,56,1051
2012,,736,225,683,524,746,32,25,2,13,3,31,31,50,377,525,68,326,3,1142,9,47,34,50,25,173,1,,571,142,,786,40,53,116,386,274,48,844
2013,,869,385,80,1635,2495,138,26,7,6,4,85,17,70,574,4520,115,271,4,82,11,169,54,53,4,152,19,,759,25,,721,14,104,,490,143,54,921
2014,,813,229,488,565,371,144,36,25,46,6,15,12,55,158,535,55,374,6,150,88,25,26,21,11,228,13,,277,44,,579,19,92,,391,230,44,2148
2015,,817,305,,1561,852,100,28,40,2,41,122,16,11,170,883,27,237,5,284,47,32,45,20,9,171,5,,304,264,,514,51,57,,491,311,85,1341
