Year,Aal,Bot,Botervis,Dikkopje,Fint,Griet,Haring,Harnasmannetje,Horsmakreel,Kabeljauw,Kleine pieterman,Kleine zandspiering,Lozano's grondel,Pitvis,Puitaal,Rode poon,Schar,Schol,Slakdolf,Smelt,Spiering,Sprot,Steenbolk,Tarbot,Tong,Vijfdradige meun,Wijting,Zeedonderpad,Zeenaalden indet.
1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991,293,104,57,947,64,63,13,112,340,681,314,44,99,11,43,558,103,90,367,402,4,20,27,49,1602,53,29,33,59
1992,128,37,314,148,84,82,37,54,102,44,235,35,101,16,18,900,24,22,662,1246,8,48,25,88,73,51,37,81,47
1993,94,43,103,150,52,43,30,58,211,108,214,24,95,13,29,1419,48,61,1924,3998,16,92,32,152,263,177,21,59,177
1994,228,400,40,236,197,14,70,609,121,1416,191,62,95,8,33,395,43,41,39,2338,42,12,30,43,72,113,55,86,79
1995,612,135,75,101,54,12,283,357,149,567,1935,99,16,10,37,338,67,66,10,19203,17,30,16,135,63,88,26,214,28
1996,248,108,45,360,50,28,24,116,284,686,68,197,90,2,50,180,17,124,1340,3717,85,9,6,782,600,54,11,1202,63
1997,959,69,61,200,80,39,13,359,227,408,60,460,95,13,70,921,6,30,31,1804,10,178,7,45,303,114,11,683,57
1998,396,47,54,74,71,17,32,163,143,1068,155,101,95,18,44,499,10,52,511,4501,11,48,29,46,143,108,17,257,65
1999,1389,245,37,238,78,47,30,22,270,37,225,170,90,38,94,703,16,35,532,2814,46,187,10,345,379,99,17,117,154
2000,831,230,113,65,58,78,10,32,152,400,916,194,95,10,38,1848,14,36,719,5211,37,31,26,30,359,233,11,119,60
2001,380,731,152,157,33,76,30,31,2370,803,302,798,93,22,44,573,117,52,964,5194,16,8,10,25,384,125,13,113,27
2002,694,78,38,66,53,41,8,48,295,34,167,976,94,9,20,1330,2,15,8,7168,19,8,9,42,549,194,6,84,90
2003,333,167,123,64,289,25,33,56,694,58,250,667,94,1,21,1546,2,54,4,4218,5,0,4,30,98,36,4,282,179
2004,271,93,127,265,69,57,100,16,214,229,89,1328,94,12,21,1073,17,17,129,1921,7,85,14,34,146,233,5,142,37
2005,227,85,21,262,82,119,11,6,286,154,18,124,94,3,16,339,2,15,246,864,59,42,2,41,1327,183,4,47,86
2006,110,225,20,31,968,9,13,9,893,239,99,22,93,3,12,458,5,43,42,2278,24,1,2,42,314,27,3,26,13
2007,49,133,18,67,65,12,176,74,204,784,77,65,5,4,7,2766,10,15,194,4897,18,1,12,35,234,73,11,49,5
2008,135,282,83,47,78,90,94,27,648,102,138,523,94,1,15,893,1,29,312,5440,36,1,7,36,251,140,6,317,36
2009,29,124,65,91,75,50,6,110,152,119,179,49,83,1,23,842,1,14,309,5551,5,6,5,23,303,174,5,146,11
2010,42,127,112,99,76,79,11,526,153,118,108,318,17,0,30,2988,1,32,423,3938,79,5,4,76,314,70,6,192,50
2011,8,53,46,103,305,40,7,183,105,78,82,528,89,2,36,1754,2,6,828,3231,23,4,2,54,331,166,7,318,11
2012,2,103,52,26,248,40,16,78,273,14,75,123,718,1,34,170,2,24,491,1558,7,3,1,33,62,123,2,107,31
2013,45,142,201,260,148,77,15,114,311,157,77,578,75,0,23,9166,2,28,412,7039,8,4,1,76,707,37,9,83,130
2014,49,69,127,72,25,81,10,104,294,111,54,724,19,1,41,10010,0,11,159,4965,9,10,4,172,255,134,2,159,15
2015,3442,107,231,79,29,44,46,164,885,40,249,1520,8,3,24,1109,1,37,603,6271,4,5,5,52,314,279,9,280,20
