Year,Aalscholver,Bergeend,Bontbekplevier,Bonte Strandloper,Brilduiker,Dodaars,Drieteenstrandloper,Dwergstern,Fuut,Geoorde Fuut,Groenpootruiter,Grote Mantelmeeuw,Kanoet,Kleine Zilverreiger,Kluut,Kokmeeuw,Kuifduiker,Lepelaar,Middelste Zaagbek,Pijlstaart,Regenwulp,Rosse Grutto,Scholekster,Steenloper (wint. Eur.),Stormmeeuw,Strandplevier,Tureluur,Visdief,Wintertaling,Wulp,Zilvermeeuw,Zilverplevier,Zwartbuikrotgans,Zwarte Ruiter
1990,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1991,161,79,68,118,265,91,77,48,110,33,84,66,53,133,73,114,100,223,192,72,63,114,107,120,123,154,101,99,265,90,200,117,245,98
1992,107,119,39,79,322,78,40,64,148,50,80,181,49,1000,87,74,0,92,155,122,74,143,107,81,113,97,83,84,190,91,396,148,248,109
1993,130,104,41,70,135,78,48,84,131,117,76,170,50,1300,94,79,0,200,76,183,105,77,124,72,51,101,72,68,126,77,308,121,321,207
1994,165,94,43,94,96,123,50,52,185,167,122,168,93,467,82,79,200,15,157,228,45,87,124,85,101,93,85,71,139,79,338,112,388,121
1995,193,119,43,125,361,187,79,49,367,0,136,222,60,567,140,79,0,238,235,103,72,101,152,115,106,73,121,84,213,114,335,146,262,147
1996,219,102,71,138,291,217,90,81,196,33,198,164,237,1067,112,76,500,331,243,122,51,125,165,100,108,64,113,91,129,83,331,135,443,153
1997,211,136,52,110,257,101,87,112,104,17,149,91,120,2800,77,72,200,385,85,181,128,101,131,95,101,83,92,105,103,83,265,97,343,135
1998,157,164,76,89,96,81,52,106,96,0,193,205,114,3333,71,63,0,654,102,483,123,113,143,117,86,112,74,110,213,103,296,77,164,151
1999,172,140,49,86,74,81,110,105,140,0,167,129,111,4333,94,55,200,554,129,267,68,99,148,166,92,73,121,118,142,77,288,93,138,109
2000,180,151,46,138,191,226,87,99,126,17,178,164,94,5933,114,61,100,585,101,200,72,100,94,90,103,60,111,122,155,84,392,83,105,123
2001,185,213,74,119,87,145,192,79,123,233,222,130,96,7033,130,48,0,769,78,278,154,145,82,73,110,50,139,146,323,87,385,99,238,175
2002,235,202,38,164,57,135,154,70,112,0,253,126,69,7267,130,47,300,1031,70,383,86,110,92,85,118,45,140,87,294,103,285,86,88,186
2003,198,164,43,133,70,326,256,73,99,0,187,90,40,7867,92,45,0,554,88,367,135,101,82,77,122,33,117,121,342,98,269,67,119,158
2004,248,223,37,114,70,283,188,68,64,0,200,138,97,12167,122,43,100,454,52,233,189,90,91,61,124,26,110,100,261,90,231,84,140,102
2005,211,172,71,130,39,235,237,68,46,17,171,78,146,11100,135,41,100,700,30,147,158,106,91,70,124,25,104,40,190,111,250,119,76,125
2006,211,226,45,121,43,496,144,80,47,0,153,94,226,10900,136,39,0,808,27,142,274,104,120,71,123,15,99,97,174,123,235,155,250,121
2007,257,262,35,160,65,636,246,174,60,117,138,187,167,6100,129,35,0,746,25,142,222,87,107,61,121,20,96,132,119,135,219,114,176,89
2008,383,238,53,133,22,452,250,203,81,50,162,91,240,7467,148,42,0,1062,22,122,318,81,99,76,119,22,111,113,161,129,246,112,393,89
2009,322,223,49,85,30,381,181,168,68,83,142,92,187,6667,126,46,0,1108,22,156,254,80,87,64,0,17,96,68,113,114,0,122,543,81
2010,313,268,49,118,39,425,258,38,43,33,149,86,289,5100,114,49,0,2462,19,103,305,113,84,50,0,14,114,57,165,125,0,105,155,68
2011,320,328,40,104,48,335,213,6,53,0,171,78,179,7067,134,49,0,2408,20,169,386,87,79,50,0,12,97,34,213,143,0,97,326,49
2012,280,243,55,101,22,197,229,39,42,0,120,71,137,9733,83,42,0,2000,23,167,291,86,74,46,0,11,69,92,187,126,0,94,214,53
2013,331,326,32,77,61,243,137,106,40,0,113,60,213,,83,35,0,2846,29,183,175,77,80,46,0,11,63,80,310,123,0,68,179,35
2014,335,451,46,100,22,420,96,125,38,,96,0,96,,83,0,0,3138,18,314,357,58,88,37,0,10,69,86,229,145,0,81,160,44
2015,393,236,22,106,43,226,65,81,41,,96,0,50,,90,0,100,3023,23,175,414,42,80,23,0,2,75,107,303,129,0,82,490,39
