Year,Waarneming,Trend,Onzekerheid ondergrens,Onzekerheid bovengrens
1990,107,100,80,126
1991,94,98,83,116
1992,94,96,84,110
1993,84,95,85,106
1994,99,94,85,105
1995,103,94,85,105
1996,93,94,84,105
1997,96,95,85,106
1998,93,96,86,108
1999,92,98,88,109
2000,89,99,89,110
2001,114,100,90,111
2002,104,102,92,114
2003,107,104,94,115
2004,113,106,96,118
2005,99,108,98,119
2006,96,110,100,122
2007,125,112,102,124
2008,109,114,105,126
2009,125,115,106,126
2010,121,116,107,126
2011,119,116,107,124
2012,113,115,107,123
2013,112,114,106,122
2014,119,112,104,121
2015,103,109,100,121
