Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aphelochaeta-borstelwormen,100,100,261,460,122,400,199,136,55,320,494,228,443,267,438,810,1101,475,879,412,385,199,583,,,
Arenicola-borstelwormen-wadpier,100,68,55,97,27,177,56,147,69,33,24,42,75,145,37,123,74,125,291,168,163,246,211,,,
Capitella-borstelwormen,100,40,52,10,53,102,67,47,6,16,8,19,21,12,81,42,11,56,187,69,66,57,20,,,
Eteone-borstelwormen,100,231,182,132,64,215,22,79,104,121,146,163,179,186,141,209,197,536,541,363,304,369,286,,,
Heteromastus-borstelwormen,100,34,95,388,61,65,25,19,27,65,106,542,193,117,84,68,127,292,291,127,159,228,183,,,
Lanice-borstelwormen-schelpkokerworm,100,63,30,32,154,39,35,40,13,51,20,40,90,35,23,48,30,28,37,15,36,29,30,,,
Magelona-borstelwormen-zandkokerworm,100,45,219,31,38,50,94,205,234,242,6,171,38,25,22,167,29,76,572,302,117,284,74,,,
Nephtys-borstelwormen-gewone zandzager,100,78,46,85,73,32,65,59,44,40,35,34,103,82,46,69,75,36,28,48,41,249,76,,,
Nereis-borstelwormen-veelkleurige duizendpoot,100,28,65,67,16,30,21,38,44,73,44,112,43,43,42,65,109,178,153,74,70,13,4,,,
Paradonis-borstelwormen,100,226,883,484,325,958,563,3148,747,805,1554,3847,1184,305,2297,1702,780,1094,2000,294,214,123,63,,,
Phyllodoce-borstelwormen-gestippelde dieseltreinworm,100,213,1362,445,1689,547,181,109,47,221,238,247,926,2253,1157,9887,1432,170,1174,855,228,60,21,,,
Polydora-borstelwormen,100,146,764,329,33,6,51,192,3,301,32,69,235,40,20,288,28,451,175,214,172,362,197,,,
Pygospio-borstelwormen,100,31,46,90,6,42,9,88,64,49,47,149,102,22,96,77,88,215,65,110,195,149,89,,,
Scoloplos-borstelwormen-wapenworm,100,56,30,36,66,163,114,65,71,65,50,55,68,173,43,93,53,227,343,218,372,446,228,,,
Spio-borstelwormen-oranje zandkokerworm,100,40,178,26,27,50,56,4,20,25,13,14,9,21,9,10,5,12,6,6,4,125,50,,,
Spiophanes-borstelwormen-noordelijke zandkokerworm,100,106,44,73,613,620,159,46,98,121,140,201,1834,1598,225,155,695,228,2568,517,404,1216,2600,,,
Streblospio-borstelwormen,100,280,240,200,240,200,240,2000,500,7960,13500,21320,16120,10140,19780,14380,11200,35100,9740,4420,7880,3600,22420,,,
Bathyporeia-kreeftachtigen-vlokreeftjes,100,113,137,117,129,241,80,230,144,46,142,206,184,184,124,151,78,353,742,163,355,254,326,,,
Carcinus-kreeftachtigen-strandkrab,100,62,36,50,62,57,93,120,51,74,71,77,87,138,84,64,124,119,159,73,126,207,163,,,
Corophium-kreeftachtigen-vlokreeftjes,100,144,16,41,13,116,26,167,296,98,62,193,18,109,118,57,86,316,294,338,821,561,453,,,
Crangon-kreeftachtigen-gewone garnaal,100,128,89,172,34,19,27,97,185,60,104,434,156,154,42,332,134,267,158,348,210,422,456,,,
Cyathura-kreeftachtigen-lijnpissebed,100,79,1467,89,23,37,73,295,874,695,2985,8510,5245,3069,5570,658,3715,12545,5379,5510,5390,14371,18626,,,
Eurydice-kreeftachtigen-agaatpissebed,100,187,92,131,79,195,72,61,109,64,377,35,96,184,58,94,31,61,66,103,91,126,163,,,
Gammarus-kreeftachtigen-vlokreeftjes,100,39,34,41,47,35,95,46,39,73,21,5,25,25,18,27,19,17,20,63,10,12,9,,,
Gastrosaccus-kreeftachtigen-aasgarnalen,100,131,26,176,432,110,130,79,331,552,386,85,214,138,31,80,207,134,102,79,153,599,1269,,,
Mesopodopsis-kreeftachtigen-aasgarnalen,100,435,109,109,74,83,374,143,152,174,409,48,52,191,30,196,96,339,96,91,883,2230,1230,,,
Mysida-kreeftachtigen-aasgarnalen,100,56,56,48,60,75,52,323,95,89,143,99,92,151,131,156,299,219,169,379,382,191,257,,,
Nemertea-overige ringwormen,100,73,208,42,61,58,55,86,149,83,105,58,43,49,25,51,69,105,87,123,156,166,105,,,
Tubificoides-overige ringwormen-kromschedekustworm,100,58,72,51,27,50,9,43,53,162,21,71,41,38,38,84,330,98,113,219,237,18,51,,,
Peringia-slakken-wadslakje,100,194,241,143,9,1486,132,450,137,183,176,276,84,38,326,319,106,143,444,194,397,265,292,,,
Cerastoderma-tweekleppigen-kokkel,100,91,73,99,70,66,357,89,76,91,292,73,439,247,63,39,31,12,7,171,85,20,24,,,
Macoma-tweekleppigen-gewoon nonnejte,100,141,192,135,170,153,252,428,253,276,381,334,353,275,424,729,421,438,282,439,406,435,532,,,
Mya-tweekleppigen-grote-afgeknotte gaper,100,111,491,994,252,184,173,254,279,492,271,376,210,281,359,142,206,358,1153,1227,217,511,280,,,
Mytilus-tweekleppigen-mossel,100,116,110,50,81,510,82,73,54,340,42,52,47,40,36,63,62,211,42,103,26,97,15,,,
Scrobicularia-tweekleppigen-platte slijkgaper,100,25,15,110,3,6,1,1,5,5,2,29,21,5,36,27,15,22,3,34,15,53,113,,,
